Utterance,Intended,Onglide,AlignmentWord,AlignmentVowel,TargetHeight,refL,Speaker,DurationOpeningGesture,DisplacementOpeningGesture,Vowel,PitchAccentConsensus,PitchAccentTranscriber1,PitchAccentTranscriber2,DifferenceType,RelativeAlignmentSyllable
FOKUS101,broad,-0.63,-53.27,-145.81,7.56,180.27,F1,87.287,8.78,i,H+!H*,H+!H*,H*,DH,-0.29
FOKUS103,contrastive,6.6,196.4,109.47,7.83,178.91,F1,129.963,2.98,o,L+H*,L+H*,L+H*,S,0.86
FOKUS105,broad,-4.77,-72.5,-139.36,4.57,173.46,F1,112.084,14.4,a,H+!H*,H+!H*,H+!H*,S,-0.33
FOKUS107,narrow,0.4,130.05,37.11,7.93,180.06,F1,100.729,3.7,o,H*,H*,H*,S,0.64
FOKUS108,contrastive,4.08,209.38,129.92,6.62,188.1,F1,139.716,17.16,a,L+H*,L+H*,L+H*,S,0.82
FOKUS111,narrow,5.68,183.42,96.22,7.54,188.88,F1,94.952,10.27,i,L+H*,L+H*,L+H*,S,0.96
FOKUS114,broad,-5.25,-47.93,-152.69,4.15,172.25,F1,66.008,2.39,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOKUS115,contrastive,9.15,201.65,106.97,10.72,187.53,F1,104.813,11.19,i,L+H*,L+H*,L+H*,S,0.96
FOKUS116,narrow,-3.75,-62.72,-144.21,4.04,176.59,F1,109.834,13.72,a,H+!H*,H+!H*,H+!H*,S,-0.3
FOKUS118,broad,-0.87,84.73,2.79,6.97,170.89,F1,86.091,7.78,i,H+!H*,H*,H+!H*,DH,0.5
FOKUS120,contrastive,6.95,219.65,107.02,7.36,184.04,F1,125.711,5.51,o,L+H*,L+H*,L+H*,S,0.95
FOKUS121,broad,-7.52,-57.37,-132.1,1.32,172.66,F1,108.379,11.15,a,H+!H*,H+!H*,H+!H*,S,-0.27
FOKUS123,narrow,1.22,142.98,47.16,7.15,179.36,F1,92.573,2.94,o,H*,H*,H*,S,0.74
FOKUS124,contrastive,8.35,228.7,135.44,8.26,180.53,F1,130.282,16.12,a,L+H*,L+H*,L+H*,S,0.84
FOKUS127,narrow,5.26,178.45,83.04,7.45,177.09,F1,94.305,9.21,i,L+H*,L+H*,L+H*,S,0.94
FOKUS130,broad,-8.32,-38.89,-138.91,1.9,177.72,F1,102.719,2.59,o,H+!H*,H+!H*,H+!H*,S,-0.18
FOKUS131,contrastive,7.33,195.5,89.71,8.4,184.01,F1,95.88,10.19,i,L+H*,L+H*,L+H*,S,0.95
FOKUS132,narrow,4.63,196.46,115.2,5.81,182.91,F1,114.087,14.84,a,L+H*,H*,L+H*,HLH,0.86
FOKUS134,broad,6.11,-24.52,-119.51,5.65,172.62,F1,100.024,9.57,i,H+!H*,H+!H*,H+!H*,S,-0.12
